,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
752,Unwind,0.812,0.35,6.0,-7.566,0.0,0.0428,0.29100000000000000,0.0295,0.0951,0.41,123.988,audio_features,31ZurLH7s71LBJXO003zpy,spotify:track:31ZurLH7s71LBJXO003zpy,https://api.spotify.com/v1/tracks/31ZurLH7s71LBJXO003zpy,https://api.spotify.com/v1/audio-analysis/31ZurLH7s71LBJXO003zpy,234998.0,4.0
753,Bags,0.742,0.546,1.0,-7.694,1.0,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,6UFivO2zqqPFPoQYsEMuCc,spotify:track:6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc,260520.0,4.0
754,Cheapskate,0.428,0.511,5.0,-6.988,0.0,0.153,0.56,0.0,0.22,0.33,143.684,audio_features,41LmqBEQojWdLobJyf2xjG,spotify:track:41LmqBEQojWdLobJyf2xjG,https://api.spotify.com/v1/tracks/41LmqBEQojWdLobJyf2xjG,https://api.spotify.com/v1/audio-analysis/41LmqBEQojWdLobJyf2xjG,177172.0,5.0
755,we used to talk every night,0.868,0.4270000000000000,8.0,-11.167,1.0,0.34600000000000000,0.909,0.00898,0.101,0.547,82.03300000000000,audio_features,6kAMaQt8UveeTctekIpUjF,spotify:track:6kAMaQt8UveeTctekIpUjF,https://api.spotify.com/v1/tracks/6kAMaQt8UveeTctekIpUjF,https://api.spotify.com/v1/audio-analysis/6kAMaQt8UveeTctekIpUjF,122749.0,4.0
756,The Man on My Left Shoulder,0.457,0.506,6.0,-10.004,0.0,0.194,0.0737,2.29E-06,0.114,0.0853,148.107,audio_features,4kYYQxspU6JTFp83jZWDrA,spotify:track:4kYYQxspU6JTFp83jZWDrA,https://api.spotify.com/v1/tracks/4kYYQxspU6JTFp83jZWDrA,https://api.spotify.com/v1/audio-analysis/4kYYQxspU6JTFp83jZWDrA,341252.0,4.0
757,Beloved,0.301,0.0114,2.0,-24.97,1.0,0.0431,0.993,0.901,0.108,0.652,81.41,audio_features,3OLeQWqsXLKFbboNufjc8Z,spotify:track:3OLeQWqsXLKFbboNufjc8Z,https://api.spotify.com/v1/tracks/3OLeQWqsXLKFbboNufjc8Z,https://api.spotify.com/v1/audio-analysis/3OLeQWqsXLKFbboNufjc8Z,133879.0,4.0
758,Tusa,0.8030000000000000,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,audio_features,7k4t7uLgtOxPwTpFmtJNTY,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960.0,4.0
759,CAN'T STOP,0.618,0.938,9.0,-3.442,1.0,0.0456,0.0179,0.0,0.16700000000000000,0.875,91.455,audio_features,3ZOEytgrvLwQaqXreDs2Jx,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000.0,4.0
760,Sounds of Nature: Dripping Rain,0.198,0.000216,0.0,-21.767,1.0,0.101,0.0765,0.948,0.8810000000000000,0.00612,84.15900000000000,audio_features,247djZ4tbKkV0bPJ0gW5Zk,spotify:track:247djZ4tbKkV0bPJ0gW5Zk,https://api.spotify.com/v1/tracks/247djZ4tbKkV0bPJ0gW5Zk,https://api.spotify.com/v1/audio-analysis/247djZ4tbKkV0bPJ0gW5Zk,138123.0,4.0
761,Unfaithful,0.588,0.391,0.0,-8.607000000000000,0.0,0.0334,0.8390000000000000,0.0,0.227,0.349,144.069,audio_features,13xxBnXOuiBxVxJI458B0i,spotify:track:13xxBnXOuiBxVxJI458B0i,https://api.spotify.com/v1/tracks/13xxBnXOuiBxVxJI458B0i,https://api.spotify.com/v1/audio-analysis/13xxBnXOuiBxVxJI458B0i,226973.0,4.0
762,Underneath the Tree,0.509,0.812,8.0,-5.438,1.0,0.0537,0.0013,1.99E-05,0.214,0.6890000000000000,159.876,audio_features,3YZE5qDV7u1ZD1gZc47ZeR,spotify:track:3YZE5qDV7u1ZD1gZc47ZeR,https://api.spotify.com/v1/tracks/3YZE5qDV7u1ZD1gZc47ZeR,https://api.spotify.com/v1/audio-analysis/3YZE5qDV7u1ZD1gZc47ZeR,229640.0,4.0
763,____45_____,0.41,0.121,2.0,-15.473,1.0,0.0575,0.971,0.0136,0.14800000000000000,0.177,86.359,audio_features,14iePHBA4OZzeMp0gtMehM,spotify:track:14iePHBA4OZzeMp0gtMehM,https://api.spotify.com/v1/tracks/14iePHBA4OZzeMp0gtMehM,https://api.spotify.com/v1/audio-analysis/14iePHBA4OZzeMp0gtMehM,166107.0,3.0
764,A Thousand Bad Times,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15E-05,0.111,0.317,159.0,audio_features,2J0NXdHr6MYvKDSxB7k3V2,spotify:track:2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/tracks/2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/audio-analysis/2J0NXdHr6MYvKDSxB7k3V2,221173.0,4.0
765,"Take Me Home, Country Roads",0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87E-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0
